42201,長崎県,長崎市,429508,198716,230792
42202,長崎県,佐世保市,255439,120198,135241
42203,長崎県,島原市,45436,20999,24437
42204,長崎県,諫早市,138078,65029,73049
42205,長崎県,大村市,92757,43938,48819
42207,長崎県,平戸市,31920,14874,17046
42208,長崎県,松浦市,23309,11164,12145
42209,長崎県,対馬市,31457,15361,16096
42210,長崎県,壱岐市,27103,12860,14243
42211,長崎県,五島市,37327,17339,19988
42212,長崎県,西海市,28691,14032,14659
42213,長崎県,雲仙市,44115,20847,23268
42214,長崎県,南島原市,46535,21574,24961
42307,長崎県,長与町,42548,20090,22458
42308,長崎県,時津町,29804,14326,15478
42321,長崎県,東彼杵町,8298,3886,4412
42322,長崎県,川棚町,14067,6656,7411
42323,長崎県,波佐見町,14891,7079,7812
42383,長崎県,小値賀町,2560,1172,1388
42391,長崎県,佐々町,13626,6426,7200
42411,長崎県,新上五島町,19718,9197,10521